Date,State,State_resident_number
03/16/2020,AL,22935
03/16/2020,AR,392208
03/16/2020,AS,209808
03/16/2020,AZ,39
03/16/2020,CA,345226
03/16/2020,CO,1468688
03/16/2020,CT,259305
03/16/2020,DC,145100
03/16/2020,DE,24358
03/16/2020,FL,45435
03/16/2020,GA,1344258
03/16/2020,GU,662072
03/16/2020,HI,2932
03/16/2020,IA,61632
03/16/2020,ID,203672
03/16/2020,IL,79387
03/16/2020,IN,678467
03/16/2020,KS,379866
03/16/2020,KY,215636
03/16/2020,LA,246910
03/16/2020,MA,299280
03/16/2020,MD,252434
03/16/2020,ME,267756
03/16/2020,MI,46928
03/16/2020,MN,499564
03/16/2020,MO,288262
03/16/2020,MP,393684
03/16/2020,MS,43
03/16/2020,MT,208909
03/16/2020,NC,40123
03/16/2020,ND,577715
03/16/2020,NE,41616
03/16/2020,NH,123932
03/16/2020,NJ,59279
03/16/2020,NM,415904
03/16/2020,NV,85469
03/16/2020,NY,138541
03/16/2020,OH,848393
03/16/2020,OK,655040
03/16/2020,OR,282836
03/16/2020,PA,170119
03/16/2020,PR,580245
03/16/2020,RI,77880
03/16/2020,SC,41928
03/16/2020,SD,314278
03/16/2020,TN,44518
03/16/2020,TX,426821
03/16/2020,UT,1839165
03/16/2020,VA,145497
03/16/2020,VI,402161
03/16/2020,VT,870
03/16/2020,WA,19912
03/16/2020,WI,302721
03/16/2020,WV,286936
03/16/2020,WY,88620
03/23/2020,AK,26032
03/23/2020,AL,21693
03/23/2020,AR,367845
03/23/2020,AS,201093
03/23/2020,AZ,21
03/23/2020,CA,320630
03/23/2020,CO,1329215
03/23/2020,CT,244313
03/23/2020,DC,127426
03/23/2020,DE,22367
03/23/2020,FL,40631
03/23/2020,GA,1217277
03/23/2020,GU,611024
03/23/2020,HI,1336
03/23/2020,IA,54458
03/23/2020,ID,191565
03/23/2020,IL,72183
03/23/2020,IN,619901
03/23/2020,KS,351337
03/23/2020,KY,203740
03/23/2020,LA,235780
03/23/2020,MA,270475
03/23/2020,MD,223963
03/23/2020,ME,241907
03/23/2020,MI,43275
03/23/2020,MN,437531
03/23/2020,MO,269605
03/23/2020,MP,358781
03/23/2020,MS,22
03/23/2020,MT,195459
03/23/2020,NC,37593
03/23/2020,ND,541092
03/23/2020,NE,39438
03/23/2020,NH,119775
03/23/2020,NJ,53302
03/23/2020,NM,353684
03/23/2020,NV,78156
03/23/2020,NY,127990
03/23/2020,OH,710639
03/23/2020,OK,605030
03/23/2020,OR,267929
03/23/2020,PA,152761
03/23/2020,PR,520953
03/23/2020,RI,55240
03/23/2020,SC,38940
03/23/2020,SD,294939
